#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: EXEXM02_01_1997
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 19971203 TO 19971231
#LOCATION: Exmouth 02
#Station Status:  Current
#Lat: -21.954861  Long: 114.140889
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: LAT     which is   12.796   m below Benchmark   DMH 052   
#National Station ID:   62435 (ANTT)
#Site Description: Located in Exmouth marina.
#Tide Gauge Sensor:  Float/Pulley assembly, stilling well
#Sensor Details: In house, NA
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 5
#
H(cm),YYYYMMDD.hhmm/
00195,19971203.1200/
00197,19971203.1205/
00199,19971203.1210/
00201,19971203.1215/
00202,19971203.1220/
00204,19971203.1225/
00205,19971203.1230/
00206,19971203.1235/
00207,19971203.1240/
00209,19971203.1245/
00210,19971203.1250/
00211,19971203.1255/
00212,19971203.1300/
00212,19971203.1305/
00211,19971203.1310/
00211,19971203.1315/
00211,19971203.1320/
00211,19971203.1325/
00194,19971207.1600/
00193,19971207.1605/
00193,19971207.1610/
00193,19971207.1615/
00193,19971207.1620/
00194,19971207.1625/
00194,19971207.1630/
00193,19971207.1635/
00192,19971207.1640/
00191,19971207.1645/
00190,19971207.1650/
00189,19971207.1655/
00188,19971207.1700/
00187,19971207.1705/
00185,19971207.1710/
00184,19971207.1715/
00183,19971207.1720/
00182,19971207.1725/
00181,19971207.1730/
00179,19971207.1735/
00178,19971207.1740/
00176,19971207.1745/
00174,19971207.1750/
00172,19971207.1755/
00170,19971207.1800/
00168,19971207.1805/
00166,19971207.1810/
00164,19971207.1815/
00161,19971207.1820/
00159,19971207.1825/
00157,19971207.1830/
00155,19971207.1835/
00153,19971207.1840/
00151,19971207.1845/
00148,19971207.1850/
00146,19971207.1855/
00144,19971207.1900/
00141,19971207.1905/
00140,19971207.1910/
00138,19971207.1915/
00136,19971207.1920/
00133,19971207.1925/
00132,19971207.1930/
00130,19971207.1935/
00128,19971207.1940/
00127,19971207.1945/
00125,19971207.1950/
00123,19971207.1955/
00121,19971207.2000/
00119,19971207.2005/
00117,19971207.2010/
00116,19971207.2015/
00115,19971207.2020/
00114,19971207.2025/
00113,19971207.2030/
00111,19971207.2035/
00109,19971207.2040/
00108,19971207.2045/
00107,19971207.2050/
00106,19971207.2055/
00106,19971207.2100/
00105,19971207.2105/
00104,19971207.2110/
00104,19971207.2115/
00103,19971207.2120/
00102,19971207.2125/
00102,19971207.2130/
00101,19971207.2135/
00101,19971207.2140/
00102,19971207.2145/
00102,19971207.2150/
00102,19971207.2155/
00102,19971207.2200/
00103,19971207.2205/
00103,19971207.2210/
00104,19971207.2215/
00103,19971207.2220/
00103,19971207.2225/
00104,19971207.2230/
00105,19971207.2235/
00106,19971207.2240/
00108,19971207.2245/
00109,19971207.2250/
00110,19971207.2255/
00111,19971207.2300/
00112,19971207.2305/
00114,19971207.2310/
00116,19971207.2315/
00117,19971207.2320/
00119,19971207.2325/
00120,19971207.2330/
00121,19971207.2335/
00122,19971207.2340/
00124,19971207.2345/
00125,19971207.2350/
00127,19971207.2355/
00129,19971208.0000/
00131,19971208.0005/
00133,19971208.0010/
00135,19971208.0015/
00136,19971208.0020/
00138,19971208.0025/
00140,19971208.0030/
00142,19971208.0035/
00144,19971208.0040/
00146,19971208.0045/
00148,19971208.0050/
00150,19971208.0055/
00153,19971208.0100/
00154,19971208.0105/
00156,19971208.0110/
00158,19971208.0115/
00159,19971208.0120/
00160,19971208.0125/
00162,19971208.0130/
00164,19971208.0135/
00166,19971208.0140/
00168,19971208.0145/
00170,19971208.0150/
00171,19971208.0155/
00173,19971208.0200/
00174,19971208.0205/
00176,19971208.0210/
00178,19971208.0215/
00179,19971208.0220/
00180,19971208.0225/
00182,19971208.0230/
00183,19971208.0235/
00184,19971208.0240/
00185,19971208.0245/
00185,19971208.0250/
00186,19971208.0255/
00187,19971208.0300/
00187,19971208.0305/
00188,19971208.0310/
00189,19971208.0315/
00189,19971208.0320/
00190,19971208.0325/
00191,19971208.0330/
00191,19971208.0335/
00190,19971208.0340/
00190,19971208.0345/
00190,19971208.0350/
00189,19971208.0355/
00189,19971208.0400/
00189,19971208.0405/
00190,19971208.0410/
00190,19971208.0415/
00188,19971208.0420/
00187,19971208.0425/
00185,19971208.0430/
00184,19971208.0435/
00184,19971208.0440/
00183,19971208.0445/
00182,19971208.0450/
00181,19971208.0455/
00180,19971208.0500/
00179,19971208.0505/
00178,19971208.0510/
00177,19971208.0515/
00175,19971208.0520/
00173,19971208.0525/
00171,19971208.0530/
00170,19971208.0535/
00169,19971208.0540/
00168,19971208.0545/
00166,19971208.0550/
00163,19971208.0555/
00161,19971208.0600/
00159,19971208.0605/
00158,19971208.0610/
00156,19971208.0615/
00153,19971208.0620/
00150,19971208.0625/
00147,19971208.0630/
00144,19971208.0635/
00142,19971208.0640/
00140,19971208.0645/
00137,19971208.0650/
00134,19971208.0655/
00132,19971208.0700/
00130,19971208.0705/
00128,19971208.0710/
00126,19971208.0715/
00123,19971208.0720/
00120,19971208.0725/
00118,19971208.0730/
00115,19971208.0735/
00113,19971208.0740/
00111,19971208.0745/
00109,19971208.0750/
00107,19971208.0755/
00106,19971208.0800/
00103,19971208.0805/
00101,19971208.0810/
00099,19971208.0815/
00097,19971208.0820/
00095,19971208.0825/
00094,19971208.0830/
00093,19971208.0835/
00091,19971208.0840/
00090,19971208.0845/
00088,19971208.0850/
00086,19971208.0855/
00085,19971208.0900/
00083,19971208.0905/
00082,19971208.0910/
00082,19971208.0915/
00080,19971208.0920/
00079,19971208.0925/
00079,19971208.0930/
00078,19971208.0935/
00078,19971208.0940/
00078,19971208.0945/
00077,19971208.0950/
00077,19971208.0955/
00077,19971208.1000/
00076,19971208.1005/
00076,19971208.1010/
00076,19971208.1015/
00076,19971208.1020/
00076,19971208.1025/
00077,19971208.1030/
00077,19971208.1035/
00078,19971208.1040/
00079,19971208.1045/
00079,19971208.1050/
00079,19971208.1055/
00080,19971208.1100/
00080,19971208.1105/
00081,19971208.1110/
00083,19971208.1115/
00084,19971208.1120/
00085,19971208.1125/
00087,19971208.1130/
00089,19971208.1135/
00090,19971208.1140/
00092,19971208.1145/
00093,19971208.1150/
00095,19971208.1155/
00097,19971208.1200/
00098,19971208.1205/
00100,19971208.1210/
00102,19971208.1215/
00104,19971208.1220/
00106,19971208.1225/
00109,19971208.1230/
00111,19971208.1235/
00113,19971208.1240/
00115,19971208.1245/
00117,19971208.1250/
00120,19971208.1255/
00122,19971208.1300/
00124,19971208.1305/
00127,19971208.1310/
00129,19971208.1315/
00132,19971208.1320/
00134,19971208.1325/
00137,19971208.1330/
00139,19971208.1335/
00141,19971208.1340/
00144,19971208.1345/
00146,19971208.1350/
00148,19971208.1355/
00150,19971208.1400/
00153,19971208.1405/
00155,19971208.1410/
00158,19971208.1415/
00161,19971208.1420/
00163,19971208.1425/
00166,19971208.1430/
00167,19971208.1435/
00169,19971208.1440/
00170,19971208.1445/
00172,19971208.1450/
00174,19971208.1455/
00176,19971208.1500/
00177,19971208.1505/
00179,19971208.1510/
00181,19971208.1515/
00182,19971208.1520/
00184,19971208.1525/
00185,19971208.1530/
00186,19971208.1535/
00186,19971208.1540/
00188,19971208.1545/
00189,19971208.1550/
00191,19971208.1555/
00192,19971208.1600/
00193,19971208.1605/
00193,19971208.1610/
00194,19971208.1615/
00194,19971208.1620/
00194,19971208.1625/
00194,19971208.1630/
00195,19971208.1635/
00195,19971208.1640/
00196,19971208.1645/
00196,19971208.1650/
00196,19971208.1655/
00196,19971208.1700/
00195,19971208.1705/
00195,19971208.1710/
00195,19971208.1715/
00194,19971208.1720/
00194,19971208.1725/
00193,19971208.1730/
00193,19971208.1735/
00192,19971208.1740/
00192,19971208.1745/
00191,19971208.1750/
00191,19971208.1755/
00190,19971208.1800/
00189,19971208.1805/
00188,19971208.1810/
00187,19971208.1815/
00186,19971208.1820/
00184,19971208.1825/
00183,19971208.1830/
00182,19971208.1835/
00180,19971208.1840/
00179,19971208.1845/
00178,19971208.1850/
00177,19971208.1855/
00175,19971208.1900/
00173,19971208.1905/
00171,19971208.1910/
00169,19971208.1915/
00167,19971208.1920/
00166,19971208.1925/
00164,19971208.1930/
00162,19971208.1935/
00160,19971208.1940/
00158,19971208.1945/
00157,19971208.1950/
00155,19971208.1955/
00154,19971208.2000/
00151,19971208.2005/
00148,19971208.2010/
00146,19971208.2015/
00143,19971208.2020/
00141,19971208.2025/
00139,19971208.2030/
00137,19971208.2035/
00134,19971208.2040/
00132,19971208.2045/
00129,19971208.2050/
00126,19971208.2055/
00125,19971208.2100/
00124,19971208.2105/
00124,19971208.2110/
00124,19971208.2115/
00123,19971208.2120/
00123,19971208.2125/
00122,19971208.2130/
00117,19971208.2135/
00113,19971208.2140/
00110,19971208.2145/
00110,19971208.2150/
00111,19971208.2155/
00113,19971208.2200/
00112,19971208.2205/
00111,19971208.2210/
00110,19971208.2215/
00110,19971208.2220/
00111,19971208.2225/
00111,19971208.2230/
00108,19971208.2235/
00105,19971208.2240/
00102,19971208.2245/
00102,19971208.2250/
00103,19971208.2255/
00105,19971208.2300/
00104,19971208.2305/
00103,19971208.2310/
00103,19971208.2315/
00103,19971208.2320/
00103,19971208.2325/
00104,19971208.2330/
00104,19971208.2335/
00104,19971208.2340/
00104,19971208.2345/
00105,19971208.2350/
00106,19971208.2355/
00108,19971209.0000/
00108,19971209.0005/
00107,19971209.0010/
00107,19971209.0015/
00107,19971209.0020/
00107,19971209.0025/
00107,19971209.0030/
00108,19971209.0035/
00109,19971209.0040/
00110,19971209.0045/
00111,19971209.0050/
00112,19971209.0055/
00114,19971209.0100/
00114,19971209.0105/
00115,19971209.0110/
00117,19971209.0115/
00119,19971209.0120/
00122,19971209.0125/
00125,19971209.0130/
00127,19971209.0135/
00128,19971209.0140/
00129,19971209.0145/
00129,19971209.0150/
00130,19971209.0155/
00131,19971209.0200/
00133,19971209.0205/
00135,19971209.0210/
00137,19971209.0215/
00139,19971209.0220/
00140,19971209.0225/
00141,19971209.0230/
00142,19971209.0235/
00143,19971209.0240/
00145,19971209.0245/
00146,19971209.0250/
00148,19971209.0255/
00150,19971209.0300/
00152,19971209.0305/
00153,19971209.0310/
00155,19971209.0315/
00156,19971209.0320/
00158,19971209.0325/
00160,19971209.0330/
00160,19971209.0335/
00161,19971209.0340/
00162,19971209.0345/
00162,19971209.0350/
00162,19971209.0355/
00163,19971209.0400/
00164,19971209.0405/
00165,19971209.0410/
00167,19971209.0415/
00166,19971209.0420/
00165,19971209.0425/
00165,19971209.0430/
00167,19971209.0435/
00169,19971209.0440/
00172,19971209.0445/
00172,19971209.0450/
00171,19971209.0455/
00171,19971209.0500/
00171,19971209.0505/
00171,19971209.0510/
00171,19971209.0515/
00171,19971209.0520/
00171,19971209.0525/
00171,19971209.0530/
00170,19971209.0535/
00170,19971209.0540/
00170,19971209.0545/
00169,19971209.0550/
00168,19971209.0555/
00167,19971209.0600/
00167,19971209.0605/
00167,19971209.0610/
00167,19971209.0615/
00166,19971209.0620/
00164,19971209.0625/
00163,19971209.0630/
00161,19971209.0635/
00159,19971209.0640/
00157,19971209.0645/
00155,19971209.0650/
00153,19971209.0655/
00152,19971209.0700/
00151,19971209.0705/
00150,19971209.0710/
00149,19971209.0715/
00148,19971209.0720/
00147,19971209.0725/
00147,19971209.0730/
00145,19971209.0735/
00142,19971209.0740/
00140,19971209.0745/
00137,19971209.0750/
00134,19971209.0755/
00132,19971209.0800/
00130,19971209.0805/
00129,19971209.0810/
00128,19971209.0815/
00126,19971209.0820/
00124,19971209.0825/
00122,19971209.0830/
00120,19971209.0835/
00119,19971209.0840/
00118,19971209.0845/
00116,19971209.0850/
00114,19971209.0855/
00113,19971209.0900/
00110,19971209.0905/
00108,19971209.0910/
00106,19971209.0915/
00104,19971209.0920/
00103,19971209.0925/
00103,19971209.0930/
00102,19971209.0935/
00101,19971209.0940/
00100,19971209.0945/
00098,19971209.0950/
00096,19971209.0955/
00095,19971209.1000/
00093,19971209.1005/
00092,19971209.1010/
00091,19971209.1015/
00090,19971209.1020/
00090,19971209.1025/
00089,19971209.1030/
00088,19971209.1035/
00087,19971209.1040/
00086,19971209.1045/
00086,19971209.1050/
00086,19971209.1055/
00087,19971209.1100/
00086,19971209.1105/
00084,19971209.1110/
00084,19971209.1115/
00084,19971209.1120/
00085,19971209.1125/
00087,19971209.1130/
00087,19971209.1135/
00087,19971209.1140/
00087,19971209.1145/
00087,19971209.1150/
00088,19971209.1155/
00089,19971209.1200/
00089,19971209.1205/
00090,19971209.1210/
00092,19971209.1215/
00093,19971209.1220/
00094,19971209.1225/
00096,19971209.1230/
00097,19971209.1235/
00098,19971209.1240/
00100,19971209.1245/
00101,19971209.1250/
00102,19971209.1255/
00103,19971209.1300/
00104,19971209.1305/
00106,19971209.1310/
00108,19971209.1315/
00110,19971209.1320/
00112,19971209.1325/
00114,19971209.1330/
00115,19971209.1335/
00116,19971209.1340/
00117,19971209.1345/
00119,19971209.1350/
00121,19971209.1355/
00124,19971209.1400/
00126,19971209.1405/
00127,19971209.1410/
00130,19971209.1415/
00132,19971209.1420/
00134,19971209.1425/
00137,19971209.1430/
00140,19971209.1435/
00142,19971209.1440/
00145,19971209.1445/
00146,19971209.1450/
00148,19971209.1455/
00149,19971209.1500/
00151,19971209.1505/
00153,19971209.1510/
00155,19971209.1515/
00156,19971209.1520/
00158,19971209.1525/
00160,19971209.1530/
00162,19971209.1535/
00165,19971209.1540/
00168,19971209.1545/
00169,19971209.1550/
00171,19971209.1555/
00172,19971209.1600/
00174,19971209.1605/
00176,19971209.1610/
00178,19971209.1615/
00179,19971209.1620/
00180,19971209.1625/
00181,19971209.1630/
00183,19971209.1635/
00184,19971209.1640/
00186,19971209.1645/
00186,19971209.1650/
00187,19971209.1655/
00188,19971209.1700/
00189,19971209.1705/
00190,19971209.1710/
00192,19971209.1715/
00192,19971209.1720/
00193,19971209.1725/
00194,19971209.1730/
00194,19971209.1735/
00195,19971209.1740/
00196,19971209.1745/
00197,19971209.1750/
00197,19971209.1755/
00197,19971209.1800/
00197,19971209.1805/
00196,19971209.1810/
00196,19971209.1815/
00196,19971209.1820/
00196,19971209.1825/
00197,19971209.1830/
00198,19971209.1835/
00198,19971209.1840/
00199,19971209.1845/
00197,19971209.1850/
00195,19971209.1855/
00193,19971209.1900/
00192,19971209.1905/
00192,19971209.1910/
00191,19971209.1915/
00189,19971209.1920/
00188,19971209.1925/
00186,19971209.1930/
00184,19971209.1935/
00183,19971209.1940/
00181,19971209.1945/
00179,19971209.1950/
00178,19971209.1955/
00177,19971209.2000/
00176,19971209.2005/
00175,19971209.2010/
00174,19971209.2015/
00170,19971209.2020/
00166,19971209.2025/
00163,19971209.2030/
00161,19971209.2035/
00160,19971209.2040/
00159,19971209.2045/
00157,19971209.2050/
00156,19971209.2055/
00154,19971209.2100/
00151,19971209.2105/
00148,19971209.2110/
00146,19971209.2115/
00144,19971209.2120/
00142,19971209.2125/
00141,19971209.2130/
00139,19971209.2135/
00137,19971209.2140/
00136,19971209.2145/
00134,19971209.2150/
00132,19971209.2155/
00131,19971209.2200/
00127,19971209.2205/
00124,19971209.2210/
00122,19971209.2215/
00121,19971209.2220/
00120,19971209.2225/
00120,19971209.2230/
00118,19971209.2235/
00117,19971209.2240/
00115,19971209.2245/
00113,19971209.2250/
00111,19971209.2255/
00110,19971209.2300/
00110,19971209.2305/
00110,19971209.2310/
00110,19971209.2315/
00108,19971209.2320/
00107,19971209.2325/
00106,19971209.2330/
00104,19971209.2335/
00103,19971209.2340/
00102,19971209.2345/
00100,19971209.2350/
00098,19971209.2355/
00097,19971210.0000/
00095,19971210.0005/
00094,19971210.0010/
00093,19971210.0015/
00093,19971210.0020/
00092,19971210.0025/
00092,19971210.0030/
00090,19971210.0035/
00089,19971210.0040/
00089,19971210.0045/
00089,19971210.0050/
00090,19971210.0055/
00091,19971210.0100/
00090,19971210.0105/
00090,19971210.0110/
00090,19971210.0115/
00090,19971210.0120/
00091,19971210.0125/
00092,19971210.0130/
00092,19971210.0135/
00092,19971210.0140/
00093,19971210.0145/
00093,19971210.0150/
00094,19971210.0155/
00095,19971210.0200/
00095,19971210.0205/
00096,19971210.0210/
00097,19971210.0215/
00097,19971210.0220/
00098,19971210.0225/
00100,19971210.0230/
00101,19971210.0235/
00102,19971210.0240/
00104,19971210.0245/
00105,19971210.0250/
00107,19971210.0255/
00109,19971210.0300/
00110,19971210.0305/
00111,19971210.0310/
00113,19971210.0315/
00114,19971210.0320/
00116,19971210.0325/
00117,19971210.0330/
00119,19971210.0335/
00120,19971210.0340/
00122,19971210.0345/
00123,19971210.0350/
00125,19971210.0355/
00127,19971210.0400/
00128,19971210.0405/
00130,19971210.0410/
00132,19971210.0415/
00134,19971210.0420/
00135,19971210.0425/
00137,19971210.0430/
00138,19971210.0435/
00139,19971210.0440/
00141,19971210.0445/
00142,19971210.0450/
00144,19971210.0455/
00145,19971210.0500/
00146,19971210.0505/
00148,19971210.0510/
00149,19971210.0515/
00150,19971210.0520/
00152,19971210.0525/
00153,19971210.0530/
00154,19971210.0535/
00156,19971210.0540/
00157,19971210.0545/
00157,19971210.0550/
00158,19971210.0555/
00159,19971210.0600/
00159,19971210.0605/
00160,19971210.0610/
00161,19971210.0615/
00162,19971210.0620/
00162,19971210.0625/
00163,19971210.0630/
00163,19971210.0635/
00162,19971210.0640/
00162,19971210.0645/
00162,19971210.0650/
00162,19971210.0655/
00162,19971210.0700/
00162,19971210.0705/
00161,19971210.0710/
00161,19971210.0715/
00160,19971210.0720/
00160,19971210.0725/
00160,19971210.0730/
00160,19971210.0735/
00160,19971210.0740/
00160,19971210.0745/
00159,19971210.0750/
00158,19971210.0755/
00157,19971210.0800/
00156,19971210.0805/
00154,19971210.0810/
00153,19971210.0815/
00152,19971210.0820/
00151,19971210.0825/
00150,19971210.0830/
00149,19971210.0835/
00148,19971210.0840/
00147,19971210.0845/
00145,19971210.0850/
00144,19971210.0855/
00143,19971210.0900/
00140,19971210.0905/
00138,19971210.0910/
00136,19971210.0915/
00135,19971210.0920/
00133,19971210.0925/
00132,19971210.0930/
00130,19971210.0935/
00127,19971210.0940/
00125,19971210.0945/
00123,19971210.0950/
00122,19971210.0955/
00121,19971210.1000/
00119,19971210.1005/
00118,19971210.1010/
00117,19971210.1015/
00115,19971210.1020/
00114,19971210.1025/
00112,19971210.1030/
00110,19971210.1035/
00109,19971210.1040/
00108,19971210.1045/
00106,19971210.1050/
00105,19971210.1055/
00104,19971210.1100/
00102,19971210.1105/
00101,19971210.1110/
00100,19971210.1115/
00099,19971210.1120/
00098,19971210.1125/
00098,19971210.1130/
00097,19971210.1135/
00096,19971210.1140/
00096,19971210.1145/
00095,19971210.1150/
00094,19971210.1155/
00094,19971210.1200/
00094,19971210.1205/
00094,19971210.1210/
00094,19971210.1215/
00093,19971210.1220/
00093,19971210.1225/
00093,19971210.1230/
00093,19971210.1235/
00094,19971210.1240/
00095,19971210.1245/
00095,19971210.1250/
00095,19971210.1255/
00096,19971210.1300/
00096,19971210.1305/
00097,19971210.1310/
00098,19971210.1315/
00099,19971210.1320/
00100,19971210.1325/
00102,19971210.1330/
00102,19971210.1335/
00103,19971210.1340/
00104,19971210.1345/
00105,19971210.1350/
00106,19971210.1355/
00108,19971210.1400/
00109,19971210.1405/
00110,19971210.1410/
00112,19971210.1415/
00113,19971210.1420/
00114,19971210.1425/
00116,19971210.1430/
00118,19971210.1435/
00120,19971210.1440/
00122,19971210.1445/
00123,19971210.1450/
00125,19971210.1455/
00126,19971210.1500/
00128,19971210.1505/
00130,19971210.1510/
00132,19971210.1515/
00134,19971210.1520/
00136,19971210.1525/
00138,19971210.1530/
00140,19971210.1535/
00142,19971210.1540/
00144,19971210.1545/
00146,19971210.1550/
00148,19971210.1555/
00150,19971210.1600/
00151,19971210.1605/
00153,19971210.1610/
00155,19971210.1615/
00158,19971210.1620/
00160,19971210.1625/
00163,19971210.1630/
00165,19971210.1635/
00167,19971210.1640/
00169,19971210.1645/
00170,19971210.1650/
00172,19971210.1655/
00174,19971210.1700/
00176,19971210.1705/
00178,19971210.1710/
00180,19971210.1715/
00181,19971210.1720/
00183,19971210.1725/
00185,19971210.1730/
00186,19971210.1735/
00188,19971210.1740/
00190,19971210.1745/
00191,19971210.1750/
00192,19971210.1755/
00193,19971210.1800/
00194,19971210.1805/
00195,19971210.1810/
00197,19971210.1815/
00198,19971210.1820/
00199,19971210.1825/
00200,19971210.1830/
00200,19971210.1835/
00201,19971210.1840/
00201,19971210.1845/
00202,19971210.1850/
00203,19971210.1855/
00204,19971210.1900/
00204,19971210.1905/
00205,19971210.1910/
00206,19971210.1915/
00206,19971210.1920/
00206,19971210.1925/
00206,19971210.1930/
00205,19971210.1935/
00204,19971210.1940/
00203,19971210.1945/
00203,19971210.1950/
00202,19971210.1955/
00202,19971210.2000/
00201,19971210.2005/
00200,19971210.2010/
00199,19971210.2015/
00198,19971210.2020/
00198,19971210.2025/
00197,19971210.2030/
00196,19971210.2035/
00194,19971210.2040/
00193,19971210.2045/
00192,19971210.2050/
00191,19971210.2055/
00191,19971210.2100/
00189,19971210.2105/
00187,19971210.2110/
00186,19971210.2115/
00184,19971210.2120/
00182,19971210.2125/
00180,19971210.2130/
00178,19971210.2135/
00176,19971210.2140/
00174,19971210.2145/
00171,19971210.2150/
00169,19971210.2155/
00166,19971210.2200/
00164,19971210.2205/
00162,19971210.2210/
00161,19971210.2215/
00158,19971210.2220/
00155,19971210.2225/
00153,19971210.2230/
00150,19971210.2235/
00147,19971210.2240/
00145,19971210.2245/
00142,19971210.2250/
00138,19971210.2255/
00136,19971210.2300/
00133,19971210.2305/
00131,19971210.2310/
00129,19971210.2315/
00126,19971210.2320/
00123,19971210.2325/
00121,19971210.2330/
00118,19971210.2335/
00116,19971210.2340/
00114,19971210.2345/
00111,19971210.2350/
00109,19971210.2355/
00106,19971211.0000/
00104,19971211.0005/
00101,19971211.0010/
00099,19971211.0015/
00097,19971211.0020/
00096,19971211.0025/
00095,19971211.0030/
00093,19971211.0035/
00091,19971211.0040/
00090,19971211.0045/
00088,19971211.0050/
00087,19971211.0055/
00086,19971211.0100/
00084,19971211.0105/
00082,19971211.0110/
00081,19971211.0115/
00079,19971211.0120/
00078,19971211.0125/
00078,19971211.0130/
00076,19971211.0135/
00075,19971211.0140/
00075,19971211.0145/
00075,19971211.0150/
00075,19971211.0155/
00076,19971211.0200/
00075,19971211.0205/
00074,19971211.0210/
00074,19971211.0215/
00074,19971211.0220/
00075,19971211.0225/
00076,19971211.0230/
00076,19971211.0235/
00076,19971211.0240/
00076,19971211.0245/
00077,19971211.0250/
00078,19971211.0255/
00079,19971211.0300/
00079,19971211.0305/
00079,19971211.0310/
00080,19971211.0315/
00081,19971211.0320/
00082,19971211.0325/
00084,19971211.0330/
00084,19971211.0335/
00085,19971211.0340/
00086,19971211.0345/
00087,19971211.0350/
00089,19971211.0355/
00091,19971211.0400/
00092,19971211.0405/
00093,19971211.0410/
00095,19971211.0415/
00097,19971211.0420/
00099,19971211.0425/
00101,19971211.0430/
00102,19971211.0435/
00103,19971211.0440/
00105,19971211.0445/
00107,19971211.0450/
00110,19971211.0455/
00113,19971211.0500/
00114,19971211.0505/
00116,19971211.0510/
00117,19971211.0515/
00119,19971211.0520/
00121,19971211.0525/
00123,19971211.0530/
00125,19971211.0535/
00128,19971211.0540/
00130,19971211.0545/
00132,19971211.0550/
00134,19971211.0555/
00136,19971211.0600/
00137,19971211.0605/
00138,19971211.0610/
00140,19971211.0615/
00142,19971211.0620/
00144,19971211.0625/
00147,19971211.0630/
00148,19971211.0635/
00149,19971211.0640/
00150,19971211.0645/
00151,19971211.0650/
00153,19971211.0655/
00154,19971211.0700/
00155,19971211.0705/
00157,19971211.0710/
00158,19971211.0715/
00158,19971211.0720/
00159,19971211.0725/
00160,19971211.0730/
00161,19971211.0735/
00162,19971211.0740/
00164,19971211.0745/
00164,19971211.0750/
00165,19971211.0755/
00165,19971211.0800/
00165,19971211.0805/
00165,19971211.0810/
00165,19971211.0815/
00165,19971211.0820/
00165,19971211.0825/
00166,19971211.0830/
00165,19971211.0835/
00165,19971211.0840/
00165,19971211.0845/
00165,19971211.0850/
00165,19971211.0855/
00165,19971211.0900/
00164,19971211.0905/
00164,19971211.0910/
00163,19971211.0915/
00162,19971211.0920/
00161,19971211.0925/
00160,19971211.0930/
00159,19971211.0935/
00157,19971211.0940/
00156,19971211.0945/
00156,19971211.0950/
00155,19971211.0955/
00155,19971211.1000/
00153,19971211.1005/
00152,19971211.1010/
00151,19971211.1015/
00149,19971211.1020/
00148,19971211.1025/
00147,19971211.1030/
00145,19971211.1035/
00144,19971211.1040/
00142,19971211.1045/
00140,19971211.1050/
00139,19971211.1055/
00137,19971211.1100/
00136,19971211.1105/
00134,19971211.1110/
00133,19971211.1115/
00131,19971211.1120/
00129,19971211.1125/
00128,19971211.1130/
00126,19971211.1135/
00124,19971211.1140/
00122,19971211.1145/
00120,19971211.1150/
00118,19971211.1155/
00116,19971211.1200/
00115,19971211.1205/
00113,19971211.1210/
00112,19971211.1215/
00111,19971211.1220/
00109,19971211.1225/
00108,19971211.1230/
00107,19971211.1235/
00105,19971211.1240/
00104,19971211.1245/
00103,19971211.1250/
00102,19971211.1255/
00102,19971211.1300/
00101,19971211.1305/
00100,19971211.1310/
00099,19971211.1315/
00099,19971211.1320/
00098,19971211.1325/
00098,19971211.1330/
00097,19971211.1335/
00096,19971211.1340/
00096,19971211.1345/
00096,19971211.1350/
00096,19971211.1355/
00096,19971211.1400/
00096,19971211.1405/
00097,19971211.1410/
00097,19971211.1415/
00098,19971211.1420/
00098,19971211.1425/
00099,19971211.1430/
00100,19971211.1435/
00101,19971211.1440/
00102,19971211.1445/
00103,19971211.1450/
00104,19971211.1455/
00105,19971211.1500/
00106,19971211.1505/
00106,19971211.1510/
00108,19971211.1515/
00109,19971211.1520/
00110,19971211.1525/
00112,19971211.1530/
00113,19971211.1535/
00114,19971211.1540/
00116,19971211.1545/
00117,19971211.1550/
00119,19971211.1555/
00122,19971211.1600/
00124,19971211.1605/
00126,19971211.1610/
00128,19971211.1615/
00130,19971211.1620/
00132,19971211.1625/
00134,19971211.1630/
00136,19971211.1635/
00138,19971211.1640/
00140,19971211.1645/
00142,19971211.1650/
00145,19971211.1655/
00147,19971211.1700/
00149,19971211.1705/
00152,19971211.1710/
00154,19971211.1715/
00156,19971211.1720/
00159,19971211.1725/
00161,19971211.1730/
00163,19971211.1735/
00166,19971211.1740/
00168,19971211.1745/
00171,19971211.1750/
00173,19971211.1755/
00176,19971211.1800/
00178,19971211.1805/
00180,19971211.1810/
00182,19971211.1815/
00185,19971211.1820/
00187,19971211.1825/
00190,19971211.1830/
00191,19971211.1835/
00193,19971211.1840/
00195,19971211.1845/
00197,19971211.1850/
00199,19971211.1855/
00201,19971211.1900/
00203,19971211.1905/
00205,19971211.1910/
00207,19971211.1915/
00208,19971211.1920/
00209,19971211.1925/
00210,19971211.1930/
00211,19971211.1935/
00212,19971211.1940/
00213,19971211.1945/
00214,19971211.1950/
00215,19971211.1955/
00216,19971211.2000/
00216,19971211.2005/
00216,19971211.2010/
00216,19971211.2015/
00216,19971211.2020/
00216,19971211.2025/
00216,19971211.2030/
00215,19971211.2035/
00214,19971211.2040/
00214,19971211.2045/
00213,19971211.2050/
00212,19971211.2055/
00212,19971211.2100/
00210,19971211.2105/
00209,19971211.2110/
00208,19971211.2115/
00207,19971211.2120/
00206,19971211.2125/
00205,19971211.2130/
